code,type,name,aliases
p001,p,一百齡五度的你,
p002,p,三塊厝高中吳律寬請飲料,
p003,p,上峰小汽車誰撞誰休克,
p004,p,不怕魔法,
p005,p,不知道,
p006,p,不知道要取什麼,
p007,p,世界第一大美女何亮諼,
p008,p,了不起的公關們,
p009,p,人右吉吉愛烤雞,
p010,p,你怎麼知道你的腦存在,
p011,p,來裁,
p012,p,分科不如分手,
p013,p,別被三清,
p014,p,北部菜蟲一起串聯,
p015,p,北陽軍閥,
p016,p,南北中正一起串連,
p017,p,危雞百科,
p018,p,吳律寬,
p019,p,咖波和他的子民們,
p020,p,哲何新臺幣鱷十億元,哲何新臺幣鱷十億沅
p021,p,0,
p022,p,啊隊名勒,
p023,p,失手的辯士,
p024,p,學分辯不見,
p025,p,學抒情文的拉完了,
p026,p,學測再加365,
p027,p,學長我們明年見,
p028,p,宏道辯蓮,
p029,p,對不起我們有漂亮學姊,
p030,p,小丑們要特選和分科,小丑們要特選跟分科
p031,p,我們都喜歡女生,
p032,p,忍辱附中,
p033,p,小籠包,
p034,p,建竹實聯隊,
p035,p,建美鱷魚,
p036,p,從缺,
p037,p,心碎小丑之海底撈銀海快金海的會員,
p038,p,慧燈高級監獄,
p039,p,我們有笨蛋小狗,
p040,p,我們的友情不需要辯革,
p041,p,我們還找不到隊友啦,
p043,p,我叫小駱 重生回了學測那一天,
p044,p,我家的貓會後空翻,
p045,p,我要吃火雞,
p046,p,我說的都對,
p047,p,我這個最可愛的小寶貝,
p048,p,打比賽嗎各位,
p049,p,拿盃幫社長在大安區租房子,
p050,p,教練是dinner,
p051,p,普羅多慧喵喵,
p052,p,板橋高中無教練的小朋友,
p053,p,永平紫極演辯社,
p054,p,汪汪隊立大功,
p055,p,沈葆楨,
p056,p,海岸哲學家,
p057,p,海底撈已經金海的會員,
p058,p,無教練的小朋友,
p059,p,燒焦了,
p060,p,球球不見了,
p061,p,百齡果,
p062,p,神聖麻糬帝國,
p063,p,笑死,
p064,p,絕世天才,
p065,p,美國聯隊,
p066,p,胡教練的小朋友,
p067,p,莉莉說的都對,
p068,p,萬芳華江家齊聯隊,
p069,p,被愛情辜負但我仍純愛,
p070,p,觸電的那種感覺,
p071,p,請用安平熱到造個句子,
p072,p,謝謝辯論讓我+365,
p073,p,貢丸騎士和水潤餅魔毯,
p074,p,超級辯辯辯,
p075,p,這樣也能贏，隊,
p076,p,這次有填選手名單,
p077,p,還是邢可柔你要收買我,
p078,p,還沒想好耶,
