資料類型,盃賽,日期,時段,會場,正方學校,反方學校,反方比分,正方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註
公開戰績,第37屆蘇州盃,2026-07-25,1,,馬公高中A,北市大同,3,0,北市大同,,,,,
公開戰績,第37屆蘇州盃,2026-07-25,1,,鳳新高中,永豐高中,3,0,永豐高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-25,2,,麗山高中,永平高中,2,1,永平高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-25,2,,薇閣中學,明倫高中,3,0,明倫高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-25,2,,精誠中學,竹科實中,3,0,竹科實中,,,,,
公開戰績,第37屆蘇州盃,2026-07-25,2,,高雄中學,海山高中B,0,3,高雄中學,,,,,
公開戰績,第37屆蘇州盃,2026-07-25,2,,北一女中,中崙高中B,0,3,北一女中,,,,,
公開戰績,第37屆蘇州盃,2026-07-25,3,,內壢高中,市立東山,3,0,市立東山,,,,,
公開戰績,第37屆蘇州盃,2026-07-25,3,,華江高中,嘉義女中,1,2,華江高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-25,3,,南山中學,大直高中,1,2,南山中學,,,,,
公開戰績,第37屆蘇州盃,2026-07-25,3,,海山高中A,豐原高中,0,3,海山高中A,,,,,經大會核實，豐原高中上場選手未登錄於選手名單，依比賽規則喪失比賽資格並沒收該場比賽及全額保證金，因此本場由海山高中A以3：0獲勝
公開戰績,第37屆蘇州盃,2026-07-25,3,,南湖高中,景美女中,0,3,南湖高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,1,,臺中二中,中山女高,3,0,中山女高,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,1,,北市大同,臺南一中,1,2,北市大同,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,1,,永豐高中,慧燈中學,1,2,永豐高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,2,,永平高中,新竹高中,0,3,永平高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,2,,明倫高中,復旦高中,0,3,明倫高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,2,,竹科實中,屏東女中,1,2,竹科實中,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,2,,海山高中B,武陵高中,3,0,武陵高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,2,,中崙高中B,北一女中,2,1,北一女中,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,3,,市立東山,北市陽明,1,2,市立東山,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,3,,馬公高中B,華江高中,1,2,馬公高中B,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,3,,大直高中,和平高中,2,1,和平高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,3,,內湖高中,海山高中A,3,0,海山高中A,,,,,
公開戰績,第37屆蘇州盃,2026-07-26,3,,景美女中,南湖高中,2,1,南湖高中,,,,,原公告【註一】文字截斷：該場次景美女
公開戰績,第37屆蘇州盃,2026-07-27,1,,中山女高,臺中二中,3,0,臺中二中,,,,,
公開戰績,第37屆蘇州盃,2026-07-27,1,,慧燈中學,鳳新高中,3,0,鳳新高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-27,1,,臺南一中,馬公高中A,0,3,臺南一中,,,,,
公開戰績,第37屆蘇州盃,2026-07-27,1,,北一女中,桃園陽明,1,2,北一女中,,,,,
公開戰績,第37屆蘇州盃,2026-07-27,2,,新竹高中,麗山高中,3,0,麗山高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-27,2,,復旦高中,薇閣中學,3,0,薇閣中學,,,,,
公開戰績,第37屆蘇州盃,2026-07-27,2,,屏東女中,精誠中學,0,3,屏東女中,,,,,
公開戰績,第37屆蘇州盃,2026-07-27,2,,武陵高中,高雄中學,3,0,高雄中學,,,,,
公開戰績,第37屆蘇州盃,2026-07-27,3,,北市陽明,內壢高中,3,0,內壢高中,,,,,該場次內壢高中提出抗議，經裁判一致裁決「抗議成立，已適當扣分」
公開戰績,第37屆蘇州盃,2026-07-27,3,,嘉義女中,馬公高中B,0,3,嘉義女中,,,,,
公開戰績,第37屆蘇州盃,2026-07-27,3,,和平高中B,南山高中,3,0,南山高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-27,3,,豐原高中,內湖高中,3,0,內湖高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-28,1,,和平高中A,海山高中A,0,3,和平高中A,,,,,
公開戰績,第37屆蘇州盃,2026-07-28,1,,永平高中,明倫高中,0,3,永平高中,,,,,
公開戰績,第37屆蘇州盃,2026-07-28,1,,高雄中學,中山女高,1,2,高雄中學,,,,,
