資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,1,1,北一女中,曙光女中,3,0,正方勝,,,,,🦃 5/23 時段一
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,1,2,衛道中學,康橋國際學校(秀岡校區),1,2,反方勝,,,,,🦃 5/23 時段一
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,1,3,嘉華中學,嘉義高中,1,2,反方勝,,,,,🦃 5/23 時段一
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,1,4,板橋高中,彰化高中,3,0,正方勝,,,,,🦃 5/23 時段一
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,1,5,新竹高商,嘉華中學(二),3,0,正方勝,,,,,🦃 5/23 時段一
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,1,6,竹科實中(二),建功高中,0,3,反方勝,,,,,🦃 5/23 時段一
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,2,2,康橋國際學校(秀岡校區),協同中學,3,0,正方勝,,,,,🦃 5/23 時段二
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,2,4,彰化高中,馬公高中(二),0,3,反方勝,,,,,🦃 5/23 時段二
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,2,5,嘉華中學(二),新竹高商,0,3,反方勝,,,,,🦃 5/23 時段二
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,3,1,曙光女中,北一女中,0,3,反方勝,,,,,🦃 5/23 時段三
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,3,2,協同中學,衛道中學,0,3,反方勝,,,,,🦃 5/23 時段三
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,3,3,嘉義高中,嘉華中學,2,1,正方勝,,,,,🦃 5/23 時段三
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,3,4,馬公高中(二),板橋高中,0,3,反方勝,,,,,🦃 5/23 時段三
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-23,3,5,建功高中,竹科實中(二),0,3,反方勝,,,,,🦃 5/23 時段三
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-24,1,1,北一女中,馬公高中,3,0,正方勝,,,,,🦃 5/24 時段一
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-24,1,2,嘉義高中,鳳新高中,0,3,反方勝,,,,,🦃 5/24 時段一
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-24,1,3,康橋國際學校(秀岡校區),板橋高中,1,2,反方勝,,,,,🦃 5/24 時段一
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-24,1,4,新竹高商,竹科實中(二),0,3,反方勝,,,,,🦃 5/24 時段一
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-24,2,1,北一女中,鳳新高中,2,1,正方勝,,,,,5/24 時段二
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-24,2,2,板橋高中,竹科實中(二),1,2,反方勝,,,,,5/24 時段二
公開戰績,火雞肉飯盃全國高中職辯論比賽,2026-05-24,3,1,北一女中,竹科實中(二),1,2,反方勝,,,,,5/24 時段三
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-17,3,1,南山高中,建國中學,5,0,正方勝,,,,,決賽
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-17,2,1,南山高中,馬公高中,3,0,正方勝,,,,,四強
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-17,2,2,瑞祥高中,建國中學,0,3,反方勝,,,,,四強
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-17,1,1,南山高中,麗山高中,3,0,正方勝,,,,,複賽第一時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-17,1,2,延平高中,馬公高中,1,2,反方勝,,,,,複賽第一時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-17,1,3,東山高中,瑞祥高中,0,3,反方勝,,,,,複賽第一時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-17,1,4,建國中學,師大附中,3,0,正方勝,,,,,複賽第一時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,3,1,復旦高中,南山高中,3,0,正方勝,,,,,初賽第三時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,3,2,景美女中,麗山高中,2,1,正方勝,,,,,初賽第三時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,3,3,瑞祥高中,內湖高中,3,0,正方勝,,,,,初賽第三時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,3,4,永春高中,師大附中,0,3,反方勝,,,,,初賽第三時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,2,1,麗山高中,景美女中,2,1,正方勝,,,,,初賽第二時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,2,2,南山高中,復旦高中,3,0,正方勝,,,,,初賽第二時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,2,3,師大附中,永春高中,1,2,反方勝,,,,,初賽第二時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,2,4,板橋高中,建國中學,1,2,反方勝,,,,,初賽第二時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,2,5,華江高中,東山高中,0,3,反方勝,,,,,初賽第二時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,1,1,建國中學,板橋高中,2,1,正方勝,,,,,初賽第一時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,1,2,內湖高中,瑞祥高中,0,3,反方勝,,,,,初賽第一時段
公開戰績,輔仁盃全國高中職辯論比賽,2026-05-16,1,3,東山高中,華江高中,0,3,反方勝,,,,,初賽第一時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-24,2,1,成功高中,高雄中學,1,2,反方勝,,,,,四強分流
公開戰績,風雩盃中學辯論錦標賽,2026-05-24,2,2,中山女高,明道中學,2,1,正方勝,,,,,四強分流
公開戰績,風雩盃中學辯論錦標賽,2026-05-24,1,1,成功高中,新竹女中,3,0,正方勝,,,,,複賽
公開戰績,風雩盃中學辯論錦標賽,2026-05-24,1,2,高雄中學,南山高中,3,0,正方勝,,,,,複賽
公開戰績,風雩盃中學辯論錦標賽,2026-05-24,1,3,嘉義女中,中山女高,0,3,反方勝,,,,,複賽
公開戰績,風雩盃中學辯論錦標賽,2026-05-24,1,4,臺中女中,明道中學,1,2,反方勝,,,,,複賽
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,4,1,新竹高中,新竹女中,0,3,反方勝,,,,,初賽第四時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,4,2,桃園高中,明道中學,1,2,反方勝,,,,,初賽第四時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,4,3,師大附中,南山高中,1,2,反方勝,,,,,初賽第四時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,4,4,竹東高中,臺南女中,2,1,正方勝,,,,,初賽第四時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,4,5,松山高中,嘉義女中,0,3,反方勝,,,,,初賽第四時段
公開戰績,風雩盃中學辯論錦標賽,2026-05-23,3,1,成功高中,港明高中,3,0,正方勝,,,,,初賽第三時段
