資料類型,盃賽,日期,時段,會場,正方學校,反方學校,正方比分,反方比分,勝方,榮譽名稱,獲獎者,所屬學校,榮譽類型,備註,正方登場選手,反方登場選手,辯題,辯題解釋
公開戰績,第36屆蘇州盃,2025-07-05,1,1,桃園高中,港明高中,0,3,港明高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,1,2,內湖高中,長榮中學,2,1,內湖高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,1,3,北一女中,板橋高中,1,2,板橋高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,1,4,復興實中,三民高中,0,3,三民高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,1,5,桃園陽明,慧燈中學,1,2,慧燈中學,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,2,1,竹科實中,復旦高中,3,0,竹科實中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,2,2,中崙高中,南山高中,0,3,南山高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,2,3,麗山高中,永豐高中,2,1,麗山高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,2,4,彰化女中,聖功女中,2,1,彰化女中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,2,5,大直高中,鳳新高中,1,2,鳳新高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,2,6,海山高中,高雄女中,1,2,高雄女中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,3,1,港明高中,臺中高工,2,1,港明高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,3,2,長榮中學,立人高中,2,1,長榮中學,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,3,3,文華高中,北一女中,3,0,文華高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,3,4,三民高中,東山高中,0,3,東山高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,3,5,慧燈中學,高雄中學,0,3,高雄中學,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-05,3,6,建國中學,嘉義女中,2,1,建國中學,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,1,1,復旦高中,南科實中,1,2,南科實中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,1,2,永豐高中,麗山高中,1,2,麗山高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,1,3,高雄女中,海山高中,3,0,高雄女中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,1,4,平鎮高中,大直高中,3,0,平鎮高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,2,1,臺中高工,桃園高中,0,3,桃園高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,2,2,立人高中,內湖高中,2,1,立人高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,2,3,板橋高中,文華高中,0,3,文華高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,2,4,東山高中,復興實中,3,0,東山高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,2,5,高雄中學,桃園陽明,3,0,高雄中學,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,3,1,南科實中,竹科實中,0,3,竹科實中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,3,2,南山高中,中崙高中,3,0,南山高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,3,3,聖功女中,彰化女中,0,3,彰化女中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,3,4,鳳新高中,平鎮高中,0,3,平鎮高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-06,3,5,嘉義女中,建國中學,0,3,建國中學,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-07,1,1,建國中學,東山高中,3,0,建國中學,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-07,1,2,高雄中學,文華高中,0,3,文華高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-07,1,3,平鎮高中,高雄女中,0,3,高雄女中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-07,2,1,港明高中,竹科實中,3,6,竹科實中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-07,2,2,南山高中,建國中學,6,3,南山高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-07,2,3,文華高中,麗山高中,0,9,麗山高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-07,2,4,彰化女中,高雄女中,0,9,高雄女中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-08,1,1,竹科實中,南山高中,4,5,南山高中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-08,1,2,麗山高中,高雄女中,0,9,高雄女中,,,,,,,,,
公開戰績,第36屆蘇州盃,2025-07-08,2,1,南山高中,高雄女中,0,0,高雄女中,,,,,未公告比分，依最終名次判定勝方,,,,
公開榮譽,第36屆蘇州盃,2025-07-08,,,,,,,,冠軍,高雄女中,,隊伍榮譽,,,,,
公開榮譽,第36屆蘇州盃,2025-07-08,,,,,,,,亞軍,南山高中,,隊伍榮譽,,,,,
